0,0,0,3310
0,0,0,2781
0,0,0,2765
0,0,0,2470
0,0,0,2331
0,0,0,2652
0,0,0,2042
0,0,0,2507
0,0,0,2459
0,0,0,2545
0,0,0,3144
0,0,0,3370
0,0,0,3465
0,0,0,3372
0,0,0,3162
0,0,0,3359
0,0,0,3403
0,0,0,3216
0,0,0,3153
0,0,0,3415
0,0,0,3170
0,0,0,3038
0,0,0,3301
0,0,0,2966
0,0,0,3158
0,0,0,2750
0,0,0,4358
0,0,0,3939
0,0,0,3602
0,0,0,3744
0,0,0,9959
3,2,5,3752
4,1,5,3407
4,3,7,4067
0,0,0,3188
0,0,0,2830
0,0,0,8079
0,0,0,2949
0,0,0,2503
0,0,0,2582
0,0,0,2606
0,0,0,2634
0,0,0,2479
0,0,0,2505
0,0,0,3092
0,0,0,2969
0,0,0,3590
0,0,0,3127
0,0,0,3122
0,0,0,NaN
4,1,5,2700
4,3,7,2812
0,0,0,3405
0,0,0,3309
0,0,0,3589
0,0,0,3190
0,0,0,NaN
0,0,0,2756
0,0,0,2630
0,0,0,2384
0,0,0,2165
0,0,0,1799
0,0,0,2450
0,0,0,2893
0,0,0,2816
0,0,0,3244
0,0,0,3740
1,2,3,3417
4,1,5,3316
4,3,7,3223
